"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.06.2005","706,38","673,37","707,52","665,70","","4,74%"
"01.05.2005","674,44","670,27","675,54","631,20","","0,61%"
"01.04.2005","670,36","669,06","719,74","669,06","","0,19%"
"01.03.2005","669,07","716,50","722,16","658,36","","-6,61%"
"01.02.2005","716,42","637,20","716,59","634,74","","12,43%"
"01.01.2005","637,21","614,00","640,41","590,62","","3,76%"
"01.12.2004","614,11","624,38","624,38","543,78","","-2,21%"
"01.11.2004","627,98","666,59","681,87","626,38","","-5,38%"
"01.10.2004","663,67","638,50","691,89","635,61","","5,07%"
"01.09.2004","631,65","582,93","637,37","581,29","","8,04%"
"01.08.2004","584,65","546,22","584,65","533,25","","8,21%"
"01.07.2004","540,27","590,17","606,88","518,15","","-7,38%"
"01.06.2004","583,32","582,60","620,28","528,73","","0,39%"
"01.05.2004","581,07","643,43","646,66","573,65","","-7,93%"
"01.04.2004","631,11","754,21","785,52","627,04","","-16,15%"
"01.03.2004","752,66","675,00","755,43","658,36","","12,31%"
"01.02.2004","670,14","612,08","670,14","604,78","","9,66%"
"01.01.2004","611,10","573,94","626,61","573,94","","7,73%"
"01.12.2003","567,25","518,58","576,13","516,64","","7,18%"
"01.11.2003","529,27","518,62","558,42","469,82","","4,57%"
"01.10.2003","506,12","566,88","650,09","496,66","","-10,68%"
"01.09.2003","566,62","536,16","568,97","531,23","","6,72%"
"01.08.2003","530,94","455,18","531,00","451,05","","16,17%"
"01.07.2003","457,02","501,87","521,75","427,64","","-9,23%"
"01.06.2003","503,51","466,67","506,36","455,52","","7,79%"
"01.05.2003","467,10","422,35","471,22","418,21","","10,59%"
"01.04.2003","422,37","360,88","449,41","358,47","","17,22%"
"01.03.2003","360,33","385,49","400,38","359,47","","-5,98%"
"01.02.2003","383,23","346,56","383,23","344,92","","10,90%"
"01.01.2003","345,56","360,17","362,33","335,33","","-3,76%"
"01.12.2002","359,07","363,13","363,53","338,81","","-0,58%"
"01.11.2002","361,15","358,76","361,15","343,39","","0,70%"
"01.10.2002","358,65","333,25","362,44","333,25","","7,36%"
"01.09.2002","334,06","333,73","347,09","324,10","","0,35%"
"01.08.2002","332,90","332,90","355,14","305,56","","2,04%"
"01.07.2002","326,23","351,42","391,17","315,54","","-7,79%"
"01.06.2002","353,79","392,07","397,67","332,52","","-9,58%"
"01.05.2002","391,26","388,13","426,91","372,30","","1,34%"
"01.04.2002","386,10","350,47","394,02","335,49","","10,08%"
"01.03.2002","350,75","295,31","351,84","295,31","","20,64%"
"01.02.2002","290,75","290,34","301,32","280,12","","1,12%"
"01.01.2002","287,53","262,03","301,45","262,03","","10,57%"
"01.12.2001","260,05","227,74","260,05","225,81","","14,82%"
"01.11.2001","226,49","203,62","243,14","202,89","","11,00%"
"01.10.2001","204,04","181,71","205,39","173,69","","13,20%"
"01.09.2001","180,25","207,43","212,48","176,49","","-12,25%"
"01.08.2001","205,41","196,59","212,55","187,74","","4,74%"
"01.07.2001","196,12","216,51","218,08","192,49","","-9,25%"
"01.06.2001","216,11","208,82","229,28","207,25","","3,50%"
"01.05.2001","208,80","186,43","209,60","184,60","","15,56%"
"01.04.2001","180,68","169,62","182,77","158,29","","6,62%"
"01.03.2001","169,46","161,04","180,83","159,57","","2,85%"
"01.02.2001","164,76","172,33","186,74","161,12","","-5,05%"
"01.01.2001","173,53","137,95","178,90","130,06","","21,10%"
"01.12.2000","143,29","146,98","163,03","130,32","","-0,09%"
"01.11.2000","143,42","192,52","195,60","143,42","","-24,12%"
"01.10.2000","189,00","198,46","212,91","182,53","","-5,06%"
"01.09.2000","199,08","240,60","240,60","179,98","","-17,05%"
"01.08.2000","239,99","198,85","245,99","198,85","","23,65%"
"01.07.2000","194,09","172,89","194,09","171,65","","13,24%"
"01.06.2000","171,40","192,41","208,32","162,69","","-9,89%"
"01.05.2000","190,21","228,73","230,43","156,56","","-16,16%"
"01.04.2000","226,87","232,48","232,48","202,25","","-2,16%"
"01.03.2000","231,88","175,35","255,89","175,35","","35,66%"
"01.02.2000","170,93","174,03","196,64","164,32","","-0,80%"
"01.01.2000","172,31","168,56","204,62","167,03","","-1,68%"
